"child_id","session_1_words_spoken","session_2_words_spoken","session_3_words_spoken","session_4_words_spoken","session_5_words_spoken","session_6_words_spoken","session_7_words_spoken","session_8_words_spoken","session_9_words_spoken","session_12_words_spoken","session_10_words_spoken","session_11_words_spoken","session_1_percentile","session_2_percentile","session_3_percentile","session_4_percentile","session_5_percentile","session_6_percentile","session_7_percentile","session_8_percentile","session_9_percentile","session_12_percentile","session_10_percentile","session_11_percentile"
4866,49,82,113,130,167,247,310,369,410,528,455,486,24.375,39.5,32.3684210526316,37.0588235294118,30,36.0344827586207,38.1666666666667,32.093023255814,37.5806451612903,35.2173913043478,37.0689655172414,34.75
4870,18,28,42,72,112,218,345,423,503,NA,563,594,7.5,10,8.88888888888889,19.5833333333333,25.2272727272727,31.6176470588235,44.8,50.3703703703704,57.9411764705882,NA,65.4166666666667,57
4872,128,189,270,311,364,407,448,496,548,607,569,590,75.3333333333333,72.5,80.125,85.2173913043478,78.8461538461538,84.7435897435897,83.8888888888889,84.6774193548387,80.9090909090909,83.2142857142857,78.4375,84.4444444444444
4873,73,118,150,261,327,374,404,434,494,550,521,536,43.8461538461538,51.5625,51.5,68.695652173913,71.8518518518518,71.1538461538462,66.8181818181818,62.7083333333333,55,39.5652173913043,52.5,46.875
4876,135,187,286,399,434,434,NA,445,460,NA,471,NA,61.5,65.9615384615385,77.0588235294118,87.051282051282,78.2051282051282,72.0967741935484,NA,54.4642857142857,39.4444444444444,NA,51.1538461538462,NA
4877,16,20,28,33,42,52,66,73,95,224,126,167,9.16666666666667,8.75,7.14285714285714,6.38888888888889,6.04166666666667,5.96774193548387,6.02564102564103,7.05128205128205,5.49180327868852,8.1,6.14864864864865,6.95402298850575
4880,16,18,22,50,90,147,249,376,466,609,499,552,16.25,13,8.33333333333333,20,40,40.2777777777778,53.5185185185185,69.6296296296296,76.8421052631579,81.3636363636364,76,79.0625
4883,44,87,132,204,258,290,315,349,378,507,465,493,50.7142857142857,55.5555555555556,60.75,69.2307692307692,71.875,69.8275862068966,66.551724137931,53.9655172413793,60.4545454545455,40.2777777777778,70.1666666666667,55
4896,46,69,94,141,199,262,336,391,491,587,511,547,29.4444444444444,33.1818181818182,43.4375,40.2380952380952,44.5652173913043,48.125,52.5,53.2758620689655,65,63.9285714285714,60.2631578947368,60.3125
4899,164,221,362,422,515,595,629,632,NA,NA,NA,NA,95.2105263157895,80.2722940776038,96.1168831168831,97.6753246753247,98.8848920863309,99,99,71.5,NA,NA,NA,NA
4901,16,23,39,50,66,113,213,292,380,539,451,494,11,13,20,20,21.0714285714286,30.5263157894737,55.2,52.8571428571429,61.1363636363636,61.3636363636364,55.7142857142857,56.3636363636364
4902,6,16,31,56,72,NA,126,NA,NA,NA,NA,NA,2.14285714285714,4.70588235294118,8.21428571428572,13.5714285714286,20,NA,15.1923076923077,NA,NA,NA,NA,NA
4905,245,330,393,454,505,561,594,626,643,NA,NA,NA,88.6904761904762,91.6901408450704,92.5,90.0735294117647,93.8235294117647,95.271186440678,95.6666666666667,96.6842105263158,95.1739130434783,NA,NA,NA
4907,14,25,48,84,134,179,242,270,346,505,401,453,5,13,15.625,31.3333333333333,38.2352941176471,40.2173913043478,35.1724137931034,32.3076923076923,35.625,38.2692307692308,36.1290322580645,36.7241379310345
4908,129,196,309,361,400,455,502,530,568,629,591,601,66.25,73.9583333333333,85,78.2692307692308,83.8461538461538,77.6,79.9347826086957,76.3157894736842,78.125,77.7777777777778,84.7222222222222,79.2342342342342
4914,51,72,109,148,258,384,473,NA,508,575,539,539,38.3333333333333,41,46.8421052631579,49.0909090909091,64.375,77.5641025641026,90.2941176470588,NA,77.2857142857143,73.4090909090909,77.03125,71.5384615384615
4930,7,9,17,26,29,40,64,118,219,486,275,414,3.18181818181818,3.21428571428571,3.86363636363636,6.42857142857143,5.27777777777778,4.54545454545454,6.02564102564103,7.54098360655738,12.3333333333333,32.875,14.1509433962264,25.9375
4933,140,204,325,541,614,624,NA,NA,NA,NA,NA,NA,62.75,69.2307692307692,83.2758620689655,92.2142857142857,93.5294117647059,93.7301587301587,NA,NA,NA,NA,NA,NA
4935,20,29,36,42,95,174,225,290,349,414,383,404,22.5,28.3333333333333,25,22.1428571428571,42.0833333333333,55.4,57.6,61.875,64.5833333333333,37.9310344827586,43.125,45.5357142857143
4937,54,93,125,198,281,NA,347,457,483,575,520,551,34.375,43.125,44.4444444444444,64.7368421052632,62.2916666666667,NA,65.4347826086957,67.75,63.1818181818182,59.5833333333333,62.6315789473684,61.5625
4956,102,175,267,421,491,529,NA,NA,NA,NA,NA,NA,52.5,63.3333333333333,73.9583333333333,89.8717948717949,91.6176470588235,94.4117647058824,NA,NA,NA,NA,NA,NA
4959,7,11,20,31,54,80,130,181,290,523,350,468,3.18181818181818,3.92857142857143,6.36363636363636,5.83333333333333,8.95833333333333,11.0416666666667,15.9615384615385,18.8709677419355,28.3333333333333,43.2142857142857,29.8484848484848,39.3103448275862
5036,19,35,54,115,168,249,336,422,474,581,519,544,9.28571428571428,17.1428571428571,22,39.6153846153846,45.8,53.5185185185185,51.8965517241379,60.5,63.2352941176471,67.5,65.5882352941177,62.7272727272727
5058,18,21,29,61,106,159,216,NA,304,481,375,443,18.75,16.25,18.3333333333333,34.5454545454545,46.0526315789474,51.75,55.8,NA,55,65.5,60.2272727272727,65.8695652173913
5644,120,163,202,294,404,444,496,553,595,661,610,641,43.0555555555556,45.5,45.2272727272727,54.2857142857143,65.6818181818182,63.3333333333333,64.5454545454545,70.6666666666667,75.7692307692308,86.4285714285714,79.2792792792793,80
5646,182,260,292,306,384,420,522,567,622,661,641,647,71.0416666666667,78.125,74.8076923076923,67.6086956521739,73.0769230769231,70.2083333333333,82.4074074074074,77.5,88,91.3636363636364,90,89.4444444444444
5668,61,109,230,340,377,NA,NA,NA,NA,NA,NA,NA,29.5833333333333,40,61.8181818181818,74.2592592592593,71.7307692307692,NA,NA,NA,NA,NA,NA,NA
5672,137,183,286,367,446,478,512,581,NA,670,658,664,57.8571428571429,60.7894736842105,73.6538461538462,69.7826086956522,75.8,81.7741935483871,79.9021739130435,80.8333333333333,NA,97,96.5555555555556,94.6666666666667
5676,127,221,261,398,410,NA,NA,651,674,NA,NA,NA,54.375,70.2,68.695652173913,83.5897435897436,78.0769230769231,NA,NA,96.8666666666667,95.6666666666667,NA,NA,NA
5689,29,47,93,132,162,NA,NA,NA,NA,NA,NA,NA,17,23.125,34.3333333333333,37.6470588235294,36.3636363636364,NA,NA,NA,NA,NA,NA,NA
5691,14,20,20,22,30,44,65,95,158,394,257,312,4.11764705882353,4.54545454545454,3.57142857142857,3.14285714285714,3.40909090909091,3.92857142857143,3.73563218390805,5.65573770491803,8.44594594594595,16.9607843137255,13.1147540983607,13.955223880597
5692,11,17,72,146,184,308,321,338,418,609,443,502,3.92857142857143,5,27.1428571428571,32.8260869565217,32.9310344827586,57.2727272727273,40,43.4,38.8709677419355,79.5945945945946,35,48.4210526315789
5699,505,523,556,592,609,657,669,677,678,679,678,678,81.2389380530973,99,99,99,99,99,99,99,99,99,99,99
5700,17,24,79,111,196,244,315,385,443,535,480,520,12,14,44.5,47.3684210526316,59.8,61.4583333333333,66.7241379310345,71.1290322580645,73.5483870967742,70.7692307692308,73,73.8888888888889
5706,4,8,17,34,43,68,112,189,316,583,417,554,2,3.07692307692308,4.25,8,8,10.8333333333333,16.8181818181818,24.8571428571429,39.2857142857143,75.2083333333333,49.4642857142857,74.4230769230769
5712,0,2,6,32,37,49,89,134,160,336,201,290,0,0.625,1.5,7.33333333333333,6.5,7.11538461538461,12.0833333333333,16.2962962962963,15.6451612903226,18.1111111111111,16.7142857142857,17.906976744186
5713,2,3,10,20,23,32,49,138,148,327,261,302,0.769230769230769,0.9375,2.5,4,3.70967741935484,4.21052631578947,5.16129032258065,17.037037037037,13.8571428571429,17.1111111111111,23.8541666666667,19.3023255813953
5714,101,150,204,240,384,406,455,494,515,570,533,562,59.4444444444444,65.2173913043478,69.2307692307692,68.5714285714286,85.1282051282051,80.5555555555556,81.3461538461538,80.8695652173913,78.1428571428571,72.2727272727273,76.09375,75.9259259259259
5720,50,56,63,85,NA,NA,NA,269,NA,624,NA,NA,46.5,32.2727272727273,27.1428571428571,29.4444444444444,NA,NA,NA,34.6666666666667,NA,79.25,NA,NA
5731,11,16,23,31,57,NA,NA,NA,1690,NA,NA,NA,5,6.25,7.72727272727273,5.83333333333333,7.5,NA,NA,NA,90.2702702702703,NA,NA,NA
5732,28,45,53,78,NA,NA,NA,NA,NA,NA,NA,NA,16,21.875,18.75,22.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA
5735,20,25,59,73,109,186,221,NA,270,NA,NA,NA,15,10,24.5,23.5714285714286,25,31.7391304347826,29.2857142857143,NA,23.5714285714286,NA,NA,NA
5736,20,29,58,75,116,NA,NA,NA,NA,NA,NA,NA,15,12.8571428571429,24,24.2857142857143,26.7857142857143,NA,NA,NA,NA,NA,NA,NA
5741,197,256,317,358,NA,NA,NA,NA,NA,NA,NA,NA,84.7826086956522,87.8571428571429,89.6969696969697,88.1944444444444,NA,NA,NA,NA,NA,NA,NA,NA
5742,31,39,57,66,83,105,157,191,216,339,259,274,30.8333333333333,30,32.7272727272727,29.2857142857143,28.3333333333333,20.9090909090909,25.952380952381,25.4,23.452380952381,27.7777777777778,30,20.8333333333333
5743,25,31,46,111,NA,NA,NA,NA,NA,NA,NA,NA,21.6666666666667,20,25,41.25,NA,NA,NA,NA,NA,NA,NA,NA
5744,203,281,388,442,516,538,590,617,633,648,639,645,96.2368421052632,80.4765146358067,98.1851851851852,98.1948051948052,98.9136690647482,98.3559322033898,99,99,99,94.375,98.5121951219512,97.7586206896552
5745,118,174,247,311,410,446,485,500,542,621,569,600,71.8181818181818,79.75,77.8333333333333,80.8620689655172,88.4615384615385,87.051282051282,91.1764705882353,88.5135135135135,89.2647058823529,90.15625,88.7096774193548,89.8076923076923
5746,133,141,378,469,505,538,553,572,608,655,616,642,56.4285714285714,49.1176470588235,87.0652173913043,91.25,90.8196721311475,90.566037735849,91.9811320754717,86.25,89.2105263157895,91.6666666666667,86.3333333333333,90.5263157894737
5748,16,25,54,91,173,236,318,382,446,600,491,546,11,15,31.3636363636364,38.5,54.25,59,66.551724137931,70,73.3870967741936,84.2857142857143,74.1666666666667,77.5
5749,70,134,233,333,377,450,487,544,572,637,599,620,42.6923076923077,56.7857142857143,72.6,72.962962962963,80.8974358974359,84.1666666666667,83.2258064516129,86.6071428571429,86.25,88.6363636363636,86.8421052631579,87.6666666666667
5780,66,92,132,196,347,463,550,592,626,682,649,673,46.9230769230769,49,53.2352941176471,59.8,78.1081081081081,88.4615384615385,92.6190476190476,93.4821428571429,94.4791666666667,99,93.59375,97.4
5782,92,126,162,201,211,214,212,221,227,261,232,243,63.6666666666667,66.4285714285714,67.8260869565217,67.3076923076923,61.0869565217391,53.4782608695652,45.9259259259259,29.8,21.3095238095238,15.625,16.5714285714286,18.1428571428571
5818,5,7,11,30,51,75,103,120,161,298,212,252,1.92307692307692,2.1875,2.75,6.33333333333333,9.5,12.5,14.5833333333333,13.3928571428571,15.4838709677419,18.8372093023256,18.2857142857143,18.375
5836,29,45,73,109,151,163,211,335,449,649,586,614,17,21.875,27.5,31.3157894736842,33.9130434782609,29.2,30.5882352941176,42.8,55.25,92.3684210526316,83.3333333333333,85.6666666666667
6043,187,220,266,305,331,373,449,503,582,651,618,646,74.1666666666667,72.8571428571429,73.75,72.6785714285714,69.4827586206897,69.0740740740741,74.5161290322581,82.8260869565217,86.3461538461538,91,89.5454545454545,92.1153846153846
6046,28,32,40,46,70,101,136,193,294,488,320,338,17.5,15,14.4444444444444,12.5,16.4285714285714,20,16.6666666666667,20.7142857142857,28.2352941176471,37,25.1388888888889,22.5862068965517
6054,71,145,286,401,549,NA,NA,NA,NA,NA,NA,NA,32.7272727272727,40.7142857142857,42.4,45,60.625,NA,NA,NA,NA,NA,NA,NA
